Symbol,Company Name,My Rating,Volatility Rankings,Quantitative Grade,Fundamental Grade,Sales Growth,Operating Margin Growth,Earnings Growth,Earnings Revisions,Earnings Surprises,Earnings Momentum,Cash Flow,Return on Equity,Market Cap ($B),Current P/E,Dividend Yield (%),52-Week High ($),52-Week Low ($),Last Year EPS ($),Last Qtr. Surprise (%),Next Qtr. Sales (M),Next Qtr. Sales Growth (%),Next Qtr. EPS ($),Next Qtr. Earnings Growth (%),Est. Long-Term Growth (%),Company Profile,Industry,No. of Companies in Industry,Market Cap Rank,Estimated Sales Rank,Earnings Rank,Long-Term Growth Rank
WERN,"Werner Enterprises, Inc.",B,Conservative,B,B,C,A,A,B,C,C,D,A,2,14.3,1,43,29,0.32,6,587.7,13.1,0.49,54.27,-2.5,Provides transportation and logistics services,Trucking,18,7,10,8,15
WEX,WEX Inc.,A,Conservative,A,B,B,B,B,B,C,D,C,B,8,51.7,0,193,102,1.26,4.8,362.9,19.4,2.04,61.76,26.3,Provides payment processing and information management services,Data Processing Services,37,12,9,2,6
WFC,Wells Fargo & Company,D,Conservative,D,C,F,C,D,D,C,F,C,B,262,13.3,3,66,50,1.07,5.1,21,-2.3,1.12,4.93,11.9,"Operates as a diversified, community-based financial services and bank holding company",Major Banks,44,4,35,30,23
WHR,Whirlpool Corporation,F,Conservative,F,D,D,D,D,C,D,F,A,C,10,32.1,3,198,144,3.35,-5.1,5,0.6,3.77,12.54,12.4,Manufactures home appliances,Electronics/Appliances,16,2,5,3,6
WIT,Wipro Limited Sponsored ADR,D,Conservative,F,D,D,D,D,D,D,C,C,C,21,18.4,0,6,5,0.07,-15.5,2,-0.2,0.06,-3.57,8.1,"Operates as a information technology, consulting and outsourcing company",Information Technology Services,110,9,85,48,71
WLK,Westlake Chemical Corporation,A,Conservative,A,B,C,A,A,B,C,F,C,A,13,10.8,1,124,62,1.21,2.9,2,10.3,2.49,105.73,29.1,Manufactures and supplies petrochemicals and fabricated products,Chemicals: Major Diversified,8,4,5,1,2
WLTW,Willis Towers Watson Public Limited Company,D,Conservative,D,D,D,D,D,D,C,D,C,C,20,36.9,1,164,145,1.45,3,1,1.5,1.72,18.4,11.7,"Provides insurance, advisory and broking solutions",Insurance Brokers/Services,13,3,9,5,6
WMB,"Williams Companies, Inc.",D,Conservative,D,D,D,F,F,D,C,F,F,A,22,10.5,5,33,24,0.13,4.3,1,-0.8,0.19,48.47,20.6,"Explores, produces, transports, sells and processes natural gas and petroleum products",Oil & Gas Pipelines,55,7,45,9,23
WNS,WNS (Holdings) Limited Sponsored ADR,A,Conservative,A,B,B,C,C,C,B,B,B,A,2,30.7,0,53,33,0.45,11.3,193.6,10.5,0.51,12.8,10.1,Provides business process outsourcing services,Miscellaneous Commercial Services,96,32,23,33,53
WRI,Weingarten Realty Investors,B,Conservative,B,B,F,A,A,A,A,A,D,C,4,34.8,8,34,26,0.49,401.1,126.1,-11.8,0.28,-42.42,-20.9,Functions as real estate investment trust,Real Estate Investment Trusts,226,72,186,140,169
