Symbol,Company Name,My Rating,Volatility Rankings,Quantitative Grade,Fundamental Grade,Sales Growth,Operating Margin Growth,Earnings Growth,Earnings Revisions,Earnings Surprises,Earnings Momentum,Cash Flow,Return on Equity,Market Cap ($B),Current P/E,Dividend Yield (%),52-Week High ($),52-Week Low ($),Last Year EPS ($),Last Qtr. Surprise (%),Next Qtr. Sales (M),Next Qtr. Sales Growth (%),Next Qtr. EPS ($),Next Qtr. Earnings Growth (%),Est. Long-Term Growth (%),Company Profile,Industry,No. of Companies in Industry,Market Cap Rank,Estimated Sales Rank,Earnings Rank,Long-Term Growth Rank
CS,Credit Suisse Group AG Sponsored ADR,D,Conservative,D,C,C,C,C,F,D,C,B,D,39,0,0,20,14,0.13,-2.6,5,3.3,0.32,137.49,28.8,"Provides securities, investment banking, insurance, investment and management services",Major Banks,44,26,22,2,4
CSFL,CenterState Bank Corporation,B,Conservative,B,B,A,C,B,B,A,B,B,C,2,32.2,1,32,22,0.37,25.8,119,52.6,0.47,27.7,27.5,Operates as a bank holding company,Regional Banks,300,72,13,87,50
CSGP,"CoStar Group, Inc.",A,Conservative,A,B,B,A,A,B,B,F,C,C,14,113.8,0,417,260,0.86,20.5,293.6,23.8,1.31,52.32,39,"Provides information, analytics and marketing services",Internet Software/Services,91,9,22,11,21
CTAS,Cintas Corporation,B,Conservative,A,B,B,A,A,B,B,F,C,A,20,42.3,1,192,124,1.18,8.5,1,7.1,1.66,40.58,18.2,Provides rental and servicing of uniforms and other garments,Other Consumer Services,57,4,22,7,16
CTL,"CenturyLink, Inc.",D,Conservative,F,C,A,D,F,B,A,A,F,C,20,10.6,13,25,14,0.46,31.4,5,44.9,0.24,-47.01,-2.7,Provides telecommunications services,Specialty Telecommunications,27,2,2,8,11
CTXS,"Citrix Systems, Inc.",B,Conservative,B,B,D,A,A,B,B,D,B,B,14,0,0,109,75,1.03,22.7,716.7,3.4,1.19,15.93,10.8,"Designs, develops and markets technology solutions",Packaged Software,87,11,55,23,46
CUK,Carnival plc Sponsored ADR,D,Conservative,D,C,C,C,C,C,B,D,F,B,11,17.8,3,72,62,0.52,14.6,5,48.7,2.47,374.49,13,Provides cruise vacation services,Hotels/Resorts/Cruiselines,18,8,2,2,12
CVI,"CVR Energy, Inc.",A,Moderate,A,B,D,A,A,A,C,A,C,A,3,13.5,7,46,17,-0.04,0,1,28.6,1.72,0,134.7,Refines and markets high value transportation fuels,Oil Refining/Marketing,19,14,3,0,2
CVRR,CVR Refining LP,A,Moderate,A,B,D,A,A,A,A,A,B,B,3,37.7,11,25,7,-0.13,477.8,1,28.3,0.85,0,37.5,Provides refining and related logistics services,Oil Refining/Marketing,19,13,4,0,9
CVS,CVS Health Corporation,D,Conservative,D,C,D,C,C,A,C,F,D,A,73,11.2,3,84,61,1.33,5,46,1.4,1.6,20.42,9.8,Operates as an integrated pharmacy health care provider,Drugstore Chains,6,1,3,2,4
CZR,Caesars Entertainment Corporation,D,Conservative,F,C,A,C,C,F,A,F,D,F,7,0,0,14,11,-9.68,46,2,113.5,0,0,99.1,Operates hotels and casinos,Casinos/Gaming,25,5,1,0,2
D,Dominion Energy Inc,D,Conservative,F,C,D,D,D,C,B,F,F,A,43,13.6,5,85,62,0.67,9.2,3,7.3,0.8,20.04,7.1,"Produces and distributes electricity, natural gas and related services",Electric Utilities,69,4,11,10,25
DAL,"Delta Air Lines, Inc.",D,Conservative,D,C,C,D,D,D,C,F,C,A,37,10.7,2,60,45,1.64,2,11,7.7,1.75,6.5,13.8,"Provides scheduled air transportation for passengers, freight, and mail services",Airlines,19,1,6,4,13
DAR,Darling Ingredients Inc.,B,Conservative,B,B,D,A,A,D,D,A,B,B,3,25.8,0,20,16,0.05,-1.4,866.6,-3.3,0.11,122.5,120.8,Recycles and process meat by-products,Agricultural Commodities/Milling,18,5,5,3,1
DB,Deutsche Bank AG,F,Conservative,F,D,D,F,F,F,F,D,A,D,22,0,0,20,11,0.2,-79.1,7,-2.8,0.17,-14.72,38.4,Provides corporate banking and investment services,Major Banks,44,29,37,36,2
DCT,DCT Industrial Trust Inc.,B,Conservative,B,B,C,A,A,A,A,C,D,C,6,59.2,2,67,52,0.45,223,111.3,6.8,0.19,-57.43,1,Real estate investment trust,Real Estate Investment Trusts,226,51,89,151,106
DGX,Quest Diagnostics Incorporated,D,Conservative,D,C,D,C,C,C,C,F,C,B,15,20.4,2,112,91,1.55,1.2,1,0.5,1.75,13.06,9.9,Provides diagnostic testing and information services,Services to the Health Industry,15,4,8,5,6
DHI,"D.R. Horton, Inc.",B,Conservative,B,B,B,B,B,B,C,D,B,B,15,15.3,1,53,34,0.76,5.8,4,14.6,1.08,42.2,23.7,Engages in construction and sale of single family homes,Homebuilding,26,3,14,9,14
DIS,Walt Disney Company,D,Conservative,D,C,C,C,B,B,B,F,C,A,159,15.1,2,112,97,1.58,8,15,7.9,1.98,25.19,13.3,"Owns and operates amusement parks, hotels, television stations and radio broadcasting stations",Media Conglomerates,1,1,1,1,1
DISCK,"Discovery, Inc.",D,Moderate,D,D,A,F,F,C,F,D,D,D,18,0,0,26,15,0.68,-58.9,2,64.1,0.8,17.74,15.6,Provides multi-media educational and entertainment programming services,Cable/Satellite TV,15,9,2,7,10
DISH,DISH Network Corporation,F,Conservative,F,C,F,C,D,B,D,C,B,A,16,8.6,0,66,29,0.09,0,3,-5.3,0.71,687.85,-3.3,Provides satellite delivered digital television services,Cable/Satellite TV,15,10,14,1,14
DLR,"Digital Realty Trust, Inc.",D,Conservative,F,C,A,D,D,D,B,A,F,D,22,106.8,4,126,98,0.36,20.6,759.2,34.1,0.27,-23.7,26.1,Operates as a real estate investment trust,Real Estate Investment Trusts,226,11,24,125,32
DUK,Duke Energy Corporation,D,Conservative,D,C,C,D,D,C,B,D,F,C,54,17.8,5,91,72,1.01,12,5,0.6,0.99,-1.92,4.4,Engages in electric power and gas distribution operations and other energy services,Electric Utilities,69,2,32,37,38
DWDP,DowDuPont Inc.,D,Conservative,D,C,A,D,D,C,C,A,D,C,155,42.7,3,77,62,1.08,1.7,23,70.4,1.29,19.77,18.9,"Operates as a holding company which develops specialty materials, chemicals, and agricultural products",Chemicals: Major Diversified,8,1,1,4,3
DY,"Dycom Industries, Inc.",D,Conservative,D,D,F,F,F,F,D,F,C,B,3,20.6,0,123,76,0.82,-6.3,844.6,20.5,1.2,45.88,11.2,"Provides engineering, construction, maintenance and installation services to telecommunications providers",Engineering & Construction,26,7,2,6,19
EBAY,eBay Inc.,D,Conservative,D,D,B,F,F,C,D,F,B,F,38,0,0,46,34,0.45,-0.8,2,14.5,0.51,14.21,15.5,Provides online market places for the sale of goods and services,Other Consumer Services,57,2,12,18,24
EC,Ecopetrol SA Sponsored ADR,A,Moderate,A,A,B,A,A,A,B,B,B,A,40,18.2,0,23,9,0.21,9.1,6,45.5,0.49,133.92,31.2,"Engages in the exploration, development and production of crude oil and natural gas",Integrated Oil,21,10,2,8,7
ECL,Ecolab Inc.,D,Conservative,D,C,C,D,D,C,C,F,D,A,40,27,1,150,128,1.13,2.1,3,6.9,1.27,12.21,12.2,"Develops and markets cleaning, sanitizing, pest control, maintenance and repair products and services",Chemicals: Specialty,50,3,27,19,21
ED,"Consolidated Edison, Inc.",D,Conservative,D,C,D,C,C,C,C,F,F,B,23,15.3,4,90,71,0.58,4.1,2,2.7,0.57,-1.84,4,"Operates as a holding company which through its subsidiaries provides electric, gas and steam delivery services",Electric Utilities,69,9,23,36,42
EEP,"Enbridge Energy Partners, L.P.",F,Conservative,F,D,F,B,D,D,A,F,F,B,4,19.9,15,17,9,0.14,38.2,558,-6.5,0.13,-5.9,11.8,Transports crude oil and natural gas liquids,Oil & Gas Pipelines,55,25,49,31,31
EFX,Equifax Inc.,D,Conservative,D,D,D,D,D,C,C,F,D,B,15,26.2,1,146,93,1.6,4.6,886.2,3.4,1.55,-3.39,5.3,Provides information solutions and human resources business process outsourcing services,Miscellaneous Commercial Services,96,7,46,46,63
EGN,Energen Corporation,B,Conservative,B,B,A,A,A,A,C,B,D,B,6,21.5,0,72,47,0.06,1.9,336.6,31.1,0.76,1,152.8,"Engages in the development, acquisition, exploration and production of oil, natural gas and natural gas liquids",Oil & Gas Production,130,25,42,2,18
EIX,Edison International,F,Conservative,F,D,D,D,D,C,D,D,F,C,20,36.2,4,83,58,0.94,-11.9,3,2.5,0.93,-0.94,3,Supplies electricity and operates power facilities,Electric Utilities,69,12,25,34,47
ELLI,"Ellie Mae, Inc.",D,Conservative,D,C,B,F,F,B,A,C,D,C,3,74.2,0,116,81,0.51,269,123.2,18.3,0.41,-19.19,23.7,Provides software solutions for the mortgage industry,Packaged Software,87,33,27,45,29
ENTA,"Enanta Pharmaceuticals, Inc.",A,Moderate,A,B,A,C,C,A,B,F,C,B,2,69.1,0,121,33,-0.44,16.2,55.6,640.7,0.93,0,62.1,Develops drugs and other pharmaceuticals products,Biotechnology,336,49,14,0,14
ENTG,"Entegris, Inc.",B,Conservative,B,B,B,A,A,B,B,A,B,B,5,59.9,0,39,22,0.34,11.9,378.1,14.9,0.45,33.57,19.4,"Manufactures and supplies critical materials for the semiconductor, data storage, and pharmaceutical industries",Electronic Production Equipment,39,10,17,13,18
EOG,"EOG Resources, Inc.",B,Conservative,B,B,A,A,A,A,B,F,D,A,68,26.6,1,127,83,0.08,17.1,2,6.2,1.17,1,131.8,"Develops, produces and markets natural gas and crude oil",Oil & Gas Production,130,3,71,1,22
EPAM,"EPAM Systems, Inc.",B,Conservative,B,B,A,A,A,C,C,D,C,B,6,92.1,0,130,79,0.8,2.2,446.6,28,0.99,23.44,19.5,Provides software engineering solutions and technology services,Information Technology Services,110,24,25,23,46
EPR,EPR Properties,D,Conservative,F,D,B,F,F,C,F,F,D,C,4,20,7,75,53,1.02,-31.5,129.2,8.2,1.33,30.68,0.6,Operates a real estate investment trust,Real Estate Investment Trusts,226,65,76,36,108
EQIX,"Equinix, Inc.",D,Conservative,D,C,A,B,B,F,F,D,D,C,33,140.1,2,493,382,0.58,-25.3,1,18.1,0.93,59.56,37.5,Provides global data center,Real Estate Investment Trusts,226,6,46,21,26
EQR,Equity Residential,D,Conservative,D,C,D,D,D,A,A,B,D,C,23,54.6,3,70,55,0.53,103.5,637.3,4,0.35,-34.23,13.1,Operates as a real estate investment trust,Real Estate Investment Trusts,226,10,113,134,51
EQT,EQT Corporation,D,Conservative,F,D,A,F,F,B,D,F,F,D,14,7.5,0,67,46,0.06,-1.9,1,68.2,0.44,628.27,26.6,"Supplies, transmits and distributes natural gas",Oil & Gas Production,130,16,19,7,65
ERI,Eldorado Resorts Inc,A,Conservative,A,B,A,A,A,D,F,A,D,B,3,51.5,0,46,19,-0.7,-31.8,463.8,30.6,0.5,0,26.1,"Owns and operates hotels, resorts & casinos",Casinos/Gaming,25,11,3,0,10
ETFC,E*TRADE Financial Corporation,A,Conservative,A,B,B,B,A,A,B,D,B,B,17,30.2,0,66,36,0.7,12.3,705.6,22.3,0.88,25.26,30,Provides online stock brokerage and investing services,Investment Banks/Brokers,43,8,6,18,9
ETN,Eaton Corp. Plc,D,Conservative,D,C,C,C,C,B,C,F,C,A,33,11.5,3,88,70,1.15,3,5,6,1.32,14.92,10.2,"Designs, manufactures, markets and services electrical systems and components for power quality, distribution and control",Electrical Products,47,3,22,11,20
ETSY,"Etsy, Inc.",A,Moderate,A,B,B,C,C,A,A,D,C,A,5,64.8,0,44,14,0.1,76.5,127.1,25,0.05,-47.5,29,Operates an online marketplace for buying and selling of handmade and vintage goods,Miscellaneous Commercial Services,96,23,10,57,17
EVR,Evercore Inc,B,Conservative,A,B,B,C,C,A,A,D,A,A,4,39.8,2,112,70,1.06,42.6,403.3,8.2,1.46,37.76,12.9,Provides investment and advisory services,Investment Banks/Brokers,43,18,17,10,25
EXPD,"Expeditors International of Washington, Inc.",B,Conservative,B,B,B,B,B,A,B,D,C,A,12,27.5,1,78,54,0.6,16.6,1,15.7,0.78,29.74,13.8,Operates as a logistics company,Air Freight/Couriers,13,3,6,6,9
EXPE,"Expedia Group, Inc.",F,Conservative,F,C,B,C,C,A,D,D,F,C,18,52.7,1,160,100,0.89,-0.5,2,11.7,0.88,-1.05,17.7,Provides on-line travel services,Other Consumer Services,57,5,14,23,20
EXPO,"Exponent, Inc.",A,Conservative,A,B,B,C,C,B,B,B,C,B,2,66.1,1,52,29,0.26,20.5,89.4,6.3,0.31,20.1,13.8,Operates as a engineering and scientific consulting company,Engineering & Construction,26,9,9,10,18
FB,"Facebook, Inc.",B,Conservative,B,B,A,C,B,B,A,F,C,A,585,37.4,0,202,148,1.32,25,13,42.6,1.71,29.22,21.5,Operates as a social networking service and website,Internet Software/Services,91,3,10,16,33
FBR,Fibria Celulose S.A. Sponsored ADR,A,Moderate,A,B,A,C,C,B,A,C,C,C,10,30.8,0,22,10,-0.15,137.2,1,27,0.27,0,79.7,Produces pulp products,Pulp & Paper,12,1,2,0,2
FCX,"Freeport-McMoRan, Inc.",B,Moderate,B,B,A,A,A,D,F,D,C,A,23,13.7,0,20,12,0.17,-17.7,5,35.1,0.54,216.79,30.7,"Operates as copper, gold and molybdenum mining company",Precious Metals,59,1,5,2,19
FDP,Fresh Del Monte Produce Inc.,D,Conservative,F,C,C,D,D,C,D,D,D,C,2,18.8,1,52,43,1.4,-3.3,0,0,1.27,-9.29,20.2,"Produces, distributes, and markets fresh and fresh-cut fruits and vegetables",Food: Specialty/Candy,33,13,0,15,6
FDX,FedEx Corporation,D,Conservative,D,C,C,C,C,C,C,F,C,A,64,22.3,1,274,204,2.51,3.7,16,9.9,3.88,54.61,14.1,"Provides a broad portfolio of transportation, e-commerce and business services under the FedEx brand",Air Freight/Couriers,13,2,9,1,8
FICO,Fair Isaac Corporation,B,Conservative,A,B,C,C,B,B,B,D,B,A,5,53.3,0,202,132,0.78,8.1,257.5,11.5,1.14,45.73,17.4,Provides enterprise decision management solutions,Packaged Software,87,24,37,11,36
FISV,"Fiserv, Inc.",B,Conservative,B,B,D,A,A,C,C,D,C,A,31,26.1,0,76,60,0.6,3.3,1,1.9,0.74,23.96,15.5,Provides data processing services and software system development for the financial services sector,Data Processing Services,37,4,23,8,15
FIVE,"Five Below, Inc.",A,Conservative,A,B,B,A,A,B,B,C,C,A,5,53.5,0,102,45,0.3,20.6,334,17.9,0.38,25.52,26.1,Retails clothing and other accessories for teens,Discount Stores,9,5,1,2,1
FLS,Flowserve Corporation,D,Conservative,F,D,D,D,D,D,D,C,C,D,5,2,2,48,38,0.22,-1,925.2,5.5,0.34,54.3,19.2,"Manufactures and distributes pumps, valves, seals, automation, and services",Industrial Machinery,62,11,32,7,18
FMX,Fomento Economico Mexicano SAB de CV Sponsored ADR,F,Conservative,F,D,C,F,F,F,F,F,B,B,18,13.5,1,103,81,0.73,-100,6,-4.7,0.89,21.07,-4,Produces and distributes alcoholic and non-alcoholic beverages,Beverages: Non-Alcoholic,17,6,9,6,13
FND,"Floor & Decor Holdings, Inc.",B,Moderate,B,B,A,A,A,C,B,B,D,A,4,49.9,0,58,33,0.2,13.5,436.2,26.8,0.25,25.26,33.7,Retails hard surface flooring and related accessories,Home Improvement Chains,4,3,1,3,1
FOLD,"Amicus Therapeutics, Inc.",B,Moderate,B,B,A,C,C,A,B,A,C,F,2,0,0,17,10,-0.34,22.9,19.2,167.6,-0.33,0,0,Develops orally active drugs to treat human genetic diseases,Biotechnology,336,39,29,0,0
FR,"First Industrial Realty Trust, Inc.",B,Conservative,B,B,D,A,B,A,A,B,D,B,4,19.8,3,34,28,0.32,139.4,98.7,1.2,0.17,-47.82,-15.5,Provides real estate services,Real Estate Investment Trusts,226,74,133,143,160
FTNT,"Fortinet, Inc.",A,Conservative,A,A,B,A,A,A,A,A,B,C,10,376.1,0,66,36,0.27,36.8,425.5,17.1,0.35,31.36,71.9,Provides threat management and network security solutions,Computer Communications,21,4,5,3,1
FTS,Fortis Inc.,D,Conservative,F,C,D,C,C,C,C,D,F,C,13,17.8,4,38,31,0,0,0,0,0,0,0,Generates and distributes electricity,Electric Utilities,69,22,0,0,0
FUN,"Cedar Fair, L.P.",D,Conservative,D,D,C,C,C,D,D,D,F,F,3,17,5,72,62,0.55,-9.6,406.8,3.6,1.1,99.09,3.9,Operates amusement parks,Movies/Entertainment,40,17,12,2,22
GD,General Dynamics Corporation,D,Conservative,F,C,D,C,C,C,C,F,C,A,56,19.8,2,230,188,2.45,6.8,9,18.2,2.5,1.95,12.2,Operates as an aerospace and defense company that offers a broad portfolio of products and services,Aerospace & Defense,55,3,5,27,33
GDDY,"GoDaddy, Inc.",A,Conservative,A,B,A,A,A,B,B,C,D,B,10,191.8,0,75,41,0.1,9.3,643.5,15.4,0.07,-26.86,32.8,Provides domain name registration and web hosting services,Internet Software/Services,91,18,32,41,27
GDI,"Gardner Denver Holdings, Inc.",B,Conservative,B,B,B,C,C,B,A,A,C,C,5,0,0,37,20,0.24,27.3,665.3,14.9,0.41,71.63,18,Operates as a holding company,Industrial Machinery,62,10,14,5,21
GDOT,Green Dot Corporation,A,Conservative,A,B,B,B,B,B,B,D,C,B,3,47,0,78,38,0.55,8.5,250.9,12.7,0.63,14.37,22.9,Operates as bank holding company,Finance/Rental/Leasing,65,14,22,35,25
GDS,GDS Holdings Ltd. Sponsored ADR,A,Moderate,A,B,A,C,C,B,A,B,F,D,5,0,0,46,8,-0.01,82.4,89.8,81,-0.05,0,892.5,Offers computer data recovery and backup system,Information Technology Services,110,28,5,0,3
GE,General Electric Company,F,Conservative,F,C,D,A,F,D,A,C,A,D,113,0,5,28,13,0.28,33.6,29,-0.2,0.17,-37.98,5.1,"Develops and manufactures products for the generation, transmission, distribution, control and utilization of electricity; manufactures aircraft engines and medical equipment",Industrial Conglomerates,12,2,7,9,8
GG,Goldcorp Inc.,D,Conservative,D,D,F,F,F,D,F,C,D,C,11,18.1,1,15,12,0.12,-20.7,895.5,8.9,0.1,-19.5,28.3,Explores gold mines,Precious Metals,59,6,15,16,20
GIL,Gildan Activewear Inc.,D,Conservative,F,C,F,D,D,C,D,C,C,B,6,17.5,1,34,28,0.49,-2.6,730.5,2.1,0.49,0.89,9.1,Manufactures and markets branded apparel,Apparel/Footwear,31,9,20,14,18
GILD,"Gilead Sciences, Inc.",D,Conservative,D,D,F,D,D,D,D,F,C,B,92,20.4,3,89,65,2.56,-11.3,5,-27.4,1.55,-39.51,-6.1,"Discovers, develops and commercializes therapeutic products and treatments for life threatening diseases",Biotechnology,336,2,148,25,37
GLW,Corning Inc,F,Conservative,F,D,D,F,F,C,C,D,F,D,23,0,2,35,26,0.42,3.4,2,3.2,0.36,-13.13,8.8,Manufactures specialty glass and ceramics,Electronic Components,53,3,27,22,24
GMED,"Globus Medical, Inc.",B,Conservative,A,B,C,B,B,B,B,B,B,B,5,49.8,0,57,28,0.32,13.9,168,10.3,0.35,8.24,13.6,Manufactures spinal implants,Medical Specialties,169,34,58,38,45
GNRC,Generac Holdings Inc.,B,Conservative,B,B,B,A,A,B,B,D,B,A,3,19.7,0,53,35,0.69,16.8,447.5,13.2,0.9,30.98,7.2,"Manufactures automatic, stationary and portable generators",Electrical Products,47,9,13,7,23
GOLD,Randgold Resources Limited Sponsored ADR,F,Conservative,F,D,F,D,D,D,D,D,C,C,7,25.3,0,108,75,0.88,-13.5,297.3,-11.7,0.65,-25.66,8.7,Engages in the exploration and mining of gold,Precious Metals,59,9,30,18,31
GOOS,"Canada Goose Holdings, Inc.",A,Moderate,A,B,A,C,C,A,C,A,C,A,6,82.2,0,67,17,-0.1,0,28.2,26.9,-0.15,0,29.9,"Manufactures and distributes outerwear for men, women and children",Apparel/Footwear,31,8,2,0,4
GRA,W. R. Grace & Co.,D,Conservative,D,C,C,D,D,B,B,A,A,C,4,457.3,1,77,60,0.84,12.3,475.5,10.7,0.95,12.76,11.7,"Manufactures and markets packaging materials, specialty chemicals and building materials",Chemicals: Specialty,50,8,13,16,23
GRUB,"GrubHub, Inc.",A,Moderate,A,B,A,B,A,A,A,A,C,B,9,95.5,0,120,43,0.26,36.5,233,46.8,0.41,57.89,34.5,Provides online and mobile food ordering services,Internet Software/Services,91,20,8,10,23
GS,"Goldman Sachs Group, Inc.",D,Conservative,D,C,A,C,B,B,A,F,C,C,85,26.2,1,273,216,3.95,24.5,8,8.6,4.58,15.88,10.1,"Provides investment banking, securities and asset management services",Investment Banks/Brokers,43,2,16,23,31
GSK,GlaxoSmithKline plc Sponsored ADR,D,Conservative,D,D,C,D,D,D,C,C,B,F,100,50.6,6,44,35,0.71,0.2,9,1.9,0.71,-0.36,2.1,"Develops, manufactures and distributes vaccines and other pharmaceutical products",Pharmaceuticals: Major,47,6,16,13,15
GT,Goodyear Tire & Rubber Company,F,Conservative,F,C,D,F,F,D,B,D,A,C,5,18.4,2,36,24,0.7,9.4,3,4.8,0.67,-4.82,25,Manufactures and distributes tires and other rubber products,Automotive Aftermarket,7,2,3,4,2
GWW,"W.W. Grainger, Inc.",B,Conservative,A,B,C,B,B,A,B,F,C,A,17,31.15,2,320,156,2.74,22.3,2,7.6,3.69,34.63,22.9,"Operates as a supplier of maintenance, repair and operating products",Wholesale Distributors,43,1,22,13,16
HAS,"Hasbro, Inc.",F,Conservative,F,D,F,F,F,D,F,F,D,B,11,29.4,3,116,83,0.53,-68.5,864,-11.2,0.33,-36.89,1.3,"Designs, manufactures and markets games and toys",Recreational Products,24,4,20,15,21
HCP,"HCP, Inc.",F,Conservative,F,D,F,F,F,F,F,C,D,D,11,28.9,6,33,22,0.04,-49.1,463.6,1,0.12,211.39,1.2,Operates as a real estate investment trust,Real Estate Investment Trusts,226,25,134,7,104
HEI,HEICO Corporation,A,Conservative,A,B,B,C,B,B,C,C,C,A,9,53.2,0,96,57,0.42,5.8,438.6,12,0.56,31.49,18.6,"Designs, manufactures and markets aerospace products and services",Aerospace & Defense,55,10,11,9,21
HEI.A,HEICO Corporation,B,Conservative,A,B,B,C,B,B,C,C,C,A,7,43.7,0,78,48,0.42,5.8,438.6,12,0.56,31.49,18.6,"Designs, manufactures and markets aerospace products and services",Aerospace & Defense,55,13,10,8,20
HFC,HollyFrontier Corporation,A,Moderate,A,B,A,C,C,A,A,F,C,A,12,15.8,3,82,26,0.66,101,4,23.7,1.63,147.4,49.3,Engages in producing and marketing oil refineries,Oil Refining/Marketing,19,5,8,2,7
HGV,"Hilton Grand Vacations, Inc.",D,Conservative,D,C,F,D,D,B,F,C,C,A,3,11.3,0,47,34,0.51,-56.2,583.1,32.8,1.11,117.55,0.9,Provides real estate and resort management services,Real Estate Development,45,5,2,2,16
HHC,Howard Hughes Corporation,D,Conservative,C,F,F,F,F,F,F,D,D,C,5,34.1,0,140,114,0.07,-91.7,165.9,-46.3,0.12,76.06,92.4,Develops master planned communities and provides other strategic real estate development opportunities across the United States,Real Estate Development,45,3,22,4,2
HLT,Hilton Worldwide Holdings Inc,B,Conservative,B,B,F,A,A,B,C,A,C,A,25,20.8,1,88,61,0.52,7.3,2,5.5,0.7,35.54,22.8,"Operates as a holding company, which provides hospitality services",Hotels/Resorts/Cruiselines,18,3,10,4,6
HNH,Handy & Harman Ltd.,B,Conservative,B,B,B,C,C,C,C,A,A,C,370,0,0,34,29,0,0,0,0,0,0,0,Engages in manufacturing of engineered niche industrial products,Metal Fabrication,28,1,0,0,0
HOG,"Harley-Davidson, Inc.",F,Conservative,F,C,D,D,D,A,B,D,B,A,7,14.8,3,56,40,1.48,23,1,-9.9,1.41,-4.87,8.1,"Manufactures motorcycles, parts and accessories",Motor Vehicles,11,9,10,7,6
HON,Honeywell International Inc.,D,Conservative,D,C,C,C,C,C,C,F,C,B,107,69.2,2,165,132,1.8,2.5,10,7.3,2.01,11.44,10.2,Operates as a diversified technology and manufacturing company,Industrial Conglomerates,12,3,4,4,4
HQY,HealthEquity Inc,A,Conservative,A,B,B,B,B,A,A,B,C,B,4,106.1,0,82,41,0.27,61.1,69.8,22.8,0.22,-19.86,27.4,Provides range of solutions for managing health care accounts,Investment Managers,58,13,8,41,5
HRB,"H&R Block, Inc.",D,Conservative,F,C,D,B,B,F,C,C,A,F,4,12.2,3,32,23,-0.62,3,138.5,0.4,-0.77,0,-5.5,"Provides tax, mortgage and financial services",Other Consumer Services,57,13,33,0,35
HUBS,"HubSpot, Inc.",A,Conservative,A,B,A,C,C,A,A,B,D,F,5,0,0,142,64,0.07,33.2,117.8,32.2,0.16,122.11,94.7,Develops Internet marketing software solutions,Information Technology Services,110,27,16,2,13
IAC,IAC/InterActiveCorp.,B,Conservative,B,B,A,A,A,A,A,F,C,B,13,50.3,0,166,101,0.74,47.3,1,32.9,1.52,105.29,52.7,"Provides diversified media, Internet and e-commerce services",Internet Software/Services,91,13,17,5,15
IBKR,"Interactive Brokers Group, Inc.",A,Conservative,A,B,A,B,A,B,B,B,B,C,4,61.1,1,80,37,0.41,10.2,469.3,21.3,0.54,32.52,26,Operates as a holding company through its subsidiaries provides brokerage and investment services,Investment Banks/Brokers,43,17,7,12,12
IBM,International Business Machines Corporation,D,Conservative,F,C,D,D,D,C,C,F,B,A,129,23.1,4,169,140,2.97,1.4,19,3.4,3.05,2.65,2,Manufactures various computer products through the use of advanced information technology,Information Technology Services,110,1,75,38,75
IBOC,International Bancshares Corporation,B,Conservative,B,B,C,B,B,C,C,D,B,B,2,18.8,2,45,34,0,0,0,0,0,0,0,Operates as a bank holding company whose subsidiary provides banking services,Regional Banks,300,64,0,0,0
IFF,International Flavors & Fragrances Inc.,D,Conservative,F,C,C,C,C,C,C,F,B,A,9,33.6,2,157,122,1.5,6.8,915.1,8.6,1.63,8.63,8,Creates and manufactures flavor and fragrance products,Household/Personal Care,25,10,6,8,12
INGN,"Inogen, Inc.",A,Moderate,A,B,A,B,A,A,A,C,B,B,3,195.9,0,192,91,0.38,66.5,80.7,25.9,0.44,16.17,25.3,Operates as a medical technology company,Medical Specialties,169,43,33,24,23
INGR,Ingredion Incorporated,D,Conservative,F,C,D,C,C,D,C,F,C,A,7,15.5,2,146,110,1.89,2.8,1,3,1.93,1.98,5.6,Manufactures and sells starch and sweetener ingredients,Agricultural Commodities/Milling,18,3,3,7,10
INTC,Intel Corporation,B,Conservative,A,B,C,B,B,A,B,D,D,B,244,26.5,2,57,33,0.72,21.2,16,12.9,0.95,31.31,6.2,"Designs, manufactures and sells computer components and related products",Semiconductors,61,1,20,13,51
IR,Ingersoll-Rand Plc,D,Conservative,D,C,C,D,C,B,B,D,D,A,22,17.8,2,97,80,1.49,13.4,4,7.4,1.71,14.99,14,Provides diversified quality and security products and services,Industrial Conglomerates,12,6,2,3,3
ISRG,"Intuitive Surgical, Inc.",B,Conservative,A,B,B,B,B,B,B,F,C,B,54,85.1,0,496,307,1.98,17.8,874,15.6,2.49,25.34,13.6,"Designs, manufactures and markets robotic technologies used for surgeries",Medical Specialties,169,7,46,14,44
IT,"Gartner, Inc.",D,Conservative,D,C,A,F,F,D,B,A,D,D,12,4,0,142,113,0.88,17.9,989.5,5.8,0.96,8.94,19.6,"Provides information technology, research and consulting services",Miscellaneous Commercial Services,96,11,38,40,28
ITT,"ITT, Inc.",B,Conservative,B,B,C,A,A,C,C,C,B,B,4,41.6,1,57,39,0.65,5.2,688.5,9.1,0.79,21.07,13.8,Manufactures industrial pumps and pumping equipment,Industrial Machinery,62,13,24,22,30
JACK,Jack in the Box Inc.,D,Conservative,F,D,F,B,F,D,D,F,B,F,2,23,2,107,80,0.99,-6.6,185.7,-48.1,0.88,-11.44,11.5,Operates and franchises fast food restaurants,Restaurants,54,15,46,33,28
